additional_information,action,environmental,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified,croatian_kuna,norwegian_krone,japanese_yen,danish_krone,british_pound,american_dollar,swiss_franc,australian_dollar,romanian_leu,swedish_krona,canadian_dollar,new_zealand_dollar,czech_koruna,bulgarian_lev,icelandic_krona,polish_zloty,hungarian_forint
"UNESCO Global Geoparks are single, unified geographical areas where sites and landscapes of international geological significance are managed with an holistic concept of protection, education and sustainable development. The project therefore aims to help the Macedonian anuthorities in promoting the creation of geoparks in the country",0,1,9546,2020,italy,"North Macedonia / Promoting geological, ecological and cultural heritage trough sustainable development and creation of geo-parks - GECCOSPARK",north macedonia,,europe,9136.0,8000.0,9136.0,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
UNICRI - UNITED NATIONS INTERREGIONAL CRIME AND JUSTICE RESEARCH INSTITUTE - Voluntary Contribution 2020,0,0,9052,2020,italy,"Developing countries, unspecified / UNICRI Voluntary Contribution 2020",,"developing countries, unspecified",continent_unspecified,1142000.0,1000000.0,1142000.0,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,
"UNIDO - Somalia Country Program 2017-2019 aims at increasing the potential for economic opportunities and job creation in the productive sectors of the Central and Southern regions of the Somalia by focusing on four key actions: 1-promotion of agro-technology upgrading and entrepreneurship development; 2- delivery of vocational and technical skill trainings in trades providing support services; 3- facilitate access to technology, markets and finance; 4- provide institutional support in the area of agro-industrial technology transfer, investment promotion, entrepreneurship development.",1,0,3050,2019,italy,Somalia / UNIDO - Development of agricultural technologies for economic growth of Central-Meridian Somalia,somalia,,africa,649531.03,580042.0,649531.03,Committed,Oda,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"UNIDO - Sudan - The project builds on the results and recommendations stemming from a FAO-UNIDO jointly implemented initiative between 2011 and 2014. It aims at contributing in the improvement of livelihoods, food and nutrition security of the target population in Kassala State, especially for women and youth. By focusing on three strategic components (1. value-chain development and agriculture productivity improvement at the household level; 2. community participation in entrepreneurship development; and 3. access to finance through local microfinance institutions), the project plans to create sustainable job opportunities and foster inclusive economic growth in the project target areas. Over a time-span of 12 months, the project will benefit around 1,000 households and in particular small-scale farmers, micro-enterprises, women and young people by partnering with public institutions, local community-based organizations and the private sector.",1,0,3064,2019,italy,Sudan / UNIDO - Sudan -Development of supply chains and access to financial services for inclusive economic growth in the State of Kassala,sudan,,africa,727870.0,650000.0,727870.0,Committed,Oda,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
UNIDO - United Nations Industrial Development Organization - Voluntary Contribution 2019,0,0,9040,2020,italy,"Developing countries, unspecified / UNIDO - Voluntary Contribution 2019",,"developing countries, unspecified",continent_unspecified,228400.0,200000.0,228400.0,Committed,Oda,cross-cutting,Grant,Industry,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,
UNIDO - United Nations Industrial Development Organization - Voluntary Contribution 2020,0,0,9046,2020,italy,"Developing countries, unspecified / UNIDO Voluntary Contribution 2020",,"developing countries, unspecified",continent_unspecified,456800.0,400000.0,456800.0,Committed,Oda,cross-cutting,Grant,Industry,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,
"URBANLAB is an international cooperation program. The innovative approach of this program consists in the association of an territorial development project with a specific training project for a group of citizens. The general objective is to favor the environmental local system (nature, energy, water and weste management), agricultural and tourist development. The main actions envisaged by the program are: the construction of a pilot building, which will activate the involvement of local young people and institutions; the drafting of a guideline documents on the topics mentioned above. ",1,1,39224,2017,italy,Albania / URBANLAB,albania,,europe,51877.11,46015.0,51877.11,Committed,ODA,cross-cutting,Grant,Other (Education post-secondary),False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
"Unige partecipated to the International Year of Global Understanding 2016: the programme aimed to connect the global understanding with the local action and to develop policies able to face the most crucial global challenges such as climate change, food security and migrations",1,1,40737,2016,italy,"Other (Developing countries) / Developing countries, unspecified /  / The programme aimed to develop policies able to face the most crucial global challenges such as climate change, food security and migrations",,"developing countries, global, unspecified",multicontinent_or_global,7448.86,6736.0,7448.86,Committed,ODA,adaptation,Grant,Not applicable,False,False,False,False,False,False,False,False,True,True,False,,,,,,,,,,,,,,,,,
United Nations Office on Drugs and Crime - The project aims at preventing and countering illicit manufacturing of and trafficking in firearms and their links to transnational organized crime and terrorism,1,0,9006,2020,italy,"Developing countries, unspecified / Italian contribution to the Global Firearms Programme  ",,"developing countries, global, unspecified",multicontinent_or_global,9136.0,8000.0,9136.0,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,False,False,False,True,True,False,,,,,,,,,,,,,,,,,
Upgrade the present condition of the Rumbek and Yrol Hospitals and ensure that this condition can be maintained. The immediate outcomes shall be good hospital facilities to the people in Lakes States,0,0,40070,2016,italy,Other (South Sudan) / South Sudan / Africa (South of Sahara) / Support to health infrastructures: Rumbek Public Hospital and Yrol County Hospital-lakes States,sudan,,africa,8625.46,7800.0,8625.46,Committed,ODA,cross-cutting,Grant,Other (Health Basic),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Upgrading the local Water System to increase agricultural and livestock activities and to improve living conditions among local communities,1,1,40510,2016,italy,Nepal / Nepal / Asia (South & Central Asia) / Water System reconstruction,nepal,,asia,45338.94,41000.0,45338.94,Committed,ODA,adaptation,Grant,Water and Sanitation,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Upgrading, renovating and adaptation of the processing plant and of two sugar mills of Kamada",1,0,40306,2016,italy,"Philippines / Philippines / Asia (Far East Asia) / Upgrading, renovating and adaptation of the processing plant and of two sugar mills",philippines,,asia,53810.9,48661.2,53810.9,Committed,ODA,cross-cutting,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Urban management and control system for heritage development and improvement in the city of Bethlehem. Promote the strengthening of the territorial management and governance system through the transfer of cognitive experiences and methodological practices for the management and control of urban growth for the development of heritage and the improvement of life in the city,1,0,9822,2020,italy,West Bank and Gaza Strip / Urban management and control system for heritage development and improvement in the city of Bethlehem,,asia,asia,96220.35,84256.0,96220.35,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Use of a Decision-Analytic Framework to explore the water-energy-food NExus in complex and trans-boundary water resources systems of fast growing developing countries.,0,1,9001,2020,italy,"Developing countries, unspecified / DAFNE: Decision-Analytic Framework",,"developing countries, unspecified",continent_unspecified,3881.66,3399.0,3881.66,Committed,Oda,adaptation,Grant,Cross-cutting,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,
VACCINATION  OF LOCAL LIVESTOCK,0,0,40131,2016,italy,Somalia / Somalia / Africa (South of Sahara) / Enhancement of health - Vaccination of local livestock,somalia,,africa,15603.23,14110.0,15603.23,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
VIETNAM - Technical assistance to water supply projects,0,0,3097,2019,italy,Viet Nam / VIETNAM - Technical assistance to water supply projects,viet nam,,asia,11198.0,10000.0,11198.0,Committed,Oda,cross-cutting,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Video-conference presentation, held on 15 December 2020, of the Strategic Document called """"The Partnership with Africa"""", a policy document that identifies in ten points the main priorities of Italian foreign policy towards the African continent. Awareness effort for the civil society and political elite on the global challenges for African Countries and the promotion of development",1,0,8706,2020,italy,"Africa, regional / Partnership with Africa",,africa,africa,4559.48,3992.54,4559.48,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
