additional_information,action,environmental,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified,croatian_kuna,norwegian_krone,japanese_yen,danish_krone,british_pound,american_dollar,swiss_franc,australian_dollar,romanian_leu,swedish_krona,canadian_dollar,new_zealand_dollar,czech_koruna,bulgarian_lev,icelandic_krona,polish_zloty,hungarian_forint
"The project consists of carpentry workshops for children living in poverty and degradation, in order to provide them with professional skills. Workshops will be carried out with an inclusive approach.",1,0,9506,2020,italy,"Nicaragua / Social and educational intervention for children in the neighbourhoods of Managua, Jinotepe and Diriamba",nicaragua,,latin america and the caribbean,2150.61,1883.2,2150.61,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The project consists of renovation works on the roofs of two cottages and construction of a technical room for securing the generator set.,0,0,9599,2020,italy,"Senegal / Extraordinary maintenance of the """"Casa del Sorriso"""" reception centre for infants aged 0 to 2 years in Mnbaur (Senegal)",senegal,,africa,1311.47,1148.4,1311.47,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project contributes ot the long-term commitment of the implementer in different areas of the Country (Gambella, South Omo Zone, South West Shoa Zone, Somali), where health care services and training are provided of different kind (maternal and child health, nutrition,  infectious diseases and chronic disease, surgical services among others).",0,0,9117,2020,italy,Ethiopia / Providing health care services in Ethiopia,ethiopia,,africa,28845.55,25258.8,28845.55,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project contributes ot the long-term commitment of the implementer in different areas of the Country (West Nile Region, Karamoja Region, Lango Region), where health care services and training are provided of different kind (maternal and child health, nutrition,  infectious diseases among others).",1,0,9769,2020,italy,Uganda / Providing health care services in Uganda,uganda,,africa,14241.53,12470.69,14241.53,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The project contributes to the creation of a more fertile business environment in Serbia by offering training to selected enterprises.,1,0,9633,2020,italy,Serbia / BE.ST. (BEst practices exchange to STimulate Serbian SMEs growth),serbia,,europe,6039.81,5288.8,6039.81,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
"The project envisages the construction of a purification plant at the residence for the elderly in Ghodras, to meet the need to maintain safety and hygiene parameters, as well as designing an additional building to be used for long-term hospitalization.",1,0,9366,2020,italy,Lebanon / Installation of a purification plant at the Foyer des Veillards in Ghadras,lebanon,,asia,35384.87,30985.0,35384.87,Committed,Oda,adaptation,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project envisages the enhancement of the production and distribution of corn in some places in the Diocese: Mbita, Rangwe, Rachuonyo and Dhiwa Sub Counties, through the training of farmers in the areas for the intensive production of sunflowers and for the transformation into seed oil and basic food products to improve the nutritional situation of the population.",1,0,2944,2019,italy,Kenya / Corn production and processing for the agricultural communities of Homa-Bay,kenya,,africa,140511.38,125479.0,140511.38,Committed,Oda,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project envisages the equipping of a generator to deal with the electrical emergency which does not allow regular work of the activities of the Medical Center, the Family Home and the Nursery School.",1,0,3060,2019,italy,"Sri Lanka / Purchase of a power generator for the project ""Women who love light""",sri lanka,,asia,15723.11,14041.0,15723.11,Committed,Oda,mitigation,Grant,Energy,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
The project focuses on improving the access to water of the local communities. Beneficiaries will be 28‌ ‌families in the village of‌ ‌Yerezeb‌; 12‌ ‌families‌ ‌in the village of Yetarak‌ and 38‌ ‌families in the village of‌ ‌‌Sefer.,1,0,9122,2020,italy,Ethiopia / Hand to Hand: Strengthening the Resilience of Rural Communities in the Emdibir Area,ethiopia,,africa,39688.48,34753.49,39688.48,Committed,Oda,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project focuses on the Asmara-Massawa axis, a 117 km long single carriageway road which, in addition to being functional for the transport of goods and goods, touches thirty civil structures of interest. This path has the potential to become a functional itinerary capable of safeguarding historical memory. The project team will take care of inventorying sites of interest and collecting data that does not exist to date on the movement of goods and people, in order to formulate a development scenario.",0,0,9096,2020,italy,Eritrea / EMotion - Eritrea Mobility and cultural heritage: new frontiers of the Horn of Africa,eritrea,,africa,10137.76,8877.2,10137.76,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project follows the ambitious “Robbiki project” launched in 2004 by the Egyptian government and targeted to: (i) the creation of a new 1ndustriul district for leather processing in the Robbiki industrial zone, about 50 km from Cairo (Robbiki Leather City – RLC) and (ii) the subsequent transfer to the district of all production activities related to the leather tanning that are located in the central Old Cairo area of Magra el Eyoun, where are carried by outdated and highly polluting production means. Up to date, the infrastructure of the RLC have been completed, thanks to a major contribution of the Italian Cooperation.  The present initiative is meant to conclude what has been achieved, continuing to support the tanners in the decisive phase of the transferring to RLC and upgrading the leather production activities.",1,0,39007,2017,italy,Egypt / Robbiki project,egypt,,africa,6764374.3,6000000.0,6764374.3,Committed,ODA,mitigation,Grant,Other (Business and other services),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project foresees the pursuit of three main objectives, a scientific one (deepening the state of knowledge of the Ghoufi settlement in the last five centuries), the second politician (to definitively enter the archeology, management and enhancement of cultural heritage in the dynamics of local development) and the third training course with the holding of a summer school with the Badji Mokhtar Annaba University focusing on methods of diagnosis and design documentation for the development",1,0,8753,2020,italy,"Algeria / Recovery of the Genius Loci of Ghoufi site (Aouras W. Batna, Algeria)",algeria,,africa,2770.72,2426.2,2770.72,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project has 3 main goals:the first is to support 5 hospitals under stress,only one with a paediatric ward and to reopen 3 health centres,the second is to organize advanced health points in the most dangerous areas that allow communities living in the isolated villages to receive regularly the visit of nurses and essential care for malnourished children, the third is to raise awareness of women on good practice in feeding infants and children, who are most at risk of developing malnutrition.",1,0,2831,2019,italy,Burkina Faso / Fight against child malnutrition in northern Burkina Faso,burkina faso,,africa,10974.04,9800.0,10974.04,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project has as a general objective to improve the socio-economic, nutritional and sanitary conditions of vulnerable young people in the Western region of Cameroon, in particular prisoners and ex-prisoners. The project will guarantee beneficiaries immediate support, thanks to the distribution of food, medicines and health devices, and the transfer of socio-professional skills to obtain a decent job or start income-generating activities.",1,0,8908,2020,italy,"Cameroon / Improvement of the socio-economic, nutritional and hygienic-sanitary conditions of young vulnerables in the west Cameroon Region",cameroon,,africa,14419.81,12626.8,14419.81,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project has the aim of improving the access and the quality of inclusive eye care services both within the communities and health facilities in the districts of Kitgum, Lamwo and Arua (Acholi and West Nile sub-regions, North Uganda). In particular, th",1,0,9779,2020,italy,Uganda / ForeSeeing Inclusion: Eye Health and Disability Inclusion in North Uganda,uganda,,africa,201171.98,176157.6,201171.98,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project identifies the victims through a counselling service and to offer nursing services, legal assistance and psychological rehabilitation.  The project also includes awareness workshops on gender-based violence in schools which are addressed to adolescents and community leaders. This cultural intervention is extremely crucial in order to eliminate gender stereotypes which are at the basis of the violence phenomenon, promoting the culture of respect between men and women.",1,0,9850,2020,italy,Zambia / STOP THE VIOLENCE ,zambia,,africa,10506.4,9200.0,10506.4,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
